작성일,채널,작성자,평점,언급메뉴,구분,리뷰내용
2026-04-14,네이버,민트초코러버,5,너츠라떼 + 피칸파이 세트,긍정,"골목에 이런 데가 있는 줄 몰랐어요. 너츠라떼 고소하고 피칸파이 데워주셔서 더 맛있었습니다. 세트로 8,500원이면 착해요."
2026-04-16,카카오맵,jiwon_k,5,너츠라떼,긍정,동네에 이런 카페 생겨서 너무 좋아요. 식물 많고 원목이라 마음이 편해집니다. 너츠라떼 진짜 시그니처 맞네요.
2026-04-17,구글,Sarah L.,4,피칸 아인슈페너,긍정,피칸 크림이 올라간 아인슈페너가 독특해요. 사진도 잘 나옵니다. 다만 좌석이 적어서 대기했어요.
2026-04-19,네이버,골목산책러,5,피칸파이,긍정,피칸파이 먹으러 일부러 옵니다. 겉은 바삭 속은 촉촉. 커피랑 같이 먹으면 진짜 쉬어지는 느낌.
2026-04-21,카카오맵,동네주민9,4,아메리카노,긍정,집 앞이라 자주 갑니다. 아메리카노 4천원인데 산미 적당하고 좋아요. 조용해서 책 읽기 좋음.
2026-04-21,인스타그램,cafe_hunter_,5,피칸 아인슈페너,긍정,데이온 다녀왔어요 🌿 골목 안 작은 정원 컨셉 진짜예요. 피칸 아인슈페너 비주얼 미쳤습니다.
2026-04-23,네이버,토닥토닥,5,너츠라떼,긍정,이름처럼 하루가 켜지는 느낌. 사장님도 친절하시고 식물 관리가 잘 되어 있어요.
2026-04-26,구글,이현우,3,치아바타 샌드위치(햄치즈),중립,"샌드위치는 무난했는데 8,500원은 살짝 비싼 느낌. 커피는 좋았어요."
2026-04-27,카카오맵,yeeun.p,5,너츠라떼 + 피칸파이 세트,긍정,세트 조합이 정말 잘 어울려요. 고소한 게 이어지는 느낌이 뭔지 알겠어요.
2026-04-27,네이버,주말산책,4,올리브 치아바타,긍정,빵도 맛있어요. 커피랑 페어링 추천해주신 대로 먹었는데 좋았습니다.
2026-04-30,카카오맵,한결,2,(메뉴 언급 없음),불만,주차가 아예 안 돼요. 골목이라 차 가져가면 고생합니다. 맛은 좋은데 접근성이 아쉬워요.
2026-05-01,네이버,카페투어중,5,피칸파이,긍정,피칸파이가 이 집 정체성. 다른 데선 이 맛 안 나요. 재방문 확정.
2026-05-04,구글,Minji C.,5,흑임자 라떼,긍정,흑임자 라떼도 고소해서 좋아요. 견과 테마랑 잘 맞습니다. 인테리어가 정말 편안해요.
2026-05-04,인스타그램,daily_coffee.k,4,헤이즐넛 콜드브루,긍정,콜드브루 시원하고 헤이즐넛 향이 은은해요. 테이크아웃으로 자주 사갑니다.
2026-05-06,카카오맵,재방문의신,5,피칸파이,긍정,벌써 다섯 번째 방문. 피칸파이 없으면 안 됩니다. 품절될 때가 있어서 미리 전화하고 가요.
2026-05-07,네이버,워킹맘s,5,너츠라떼,긍정,아이 데리고 갔는데 눈치 안 주셔서 감사했어요. 조용하고 따뜻한 동네 사랑방 맞습니다.
2026-05-09,구글,Tom H.,4,아메리카노,긍정,Quiet neighborhood cafe with lots of plants. Coffee is solid and the pecan pie is excellent.
2026-05-09,네이버,조용한오후,5,제철 과일 티,긍정,커피 못 마시는 사람도 만족할 메뉴가 있어서 좋아요. 티도 향이 좋습니다.
2026-05-13,카카오맵,seoyeon__,4,바스크 치즈케이크,긍정,치즈케이크도 맛있는데 저는 피칸파이가 더 좋았어요. 취향 차이일 듯.
2026-05-13,네이버,골목보석찾기,5,너츠라떼 + 피칸파이 세트,긍정,진짜 골목 속 숨은 보석. 친구 데려왔더니 다들 좋아했어요.
2026-05-15,인스타그램,plant_lover_c,5,(메뉴 언급 없음),긍정,식물 좋아하는 사람은 무조건 좋아할 공간. 창가 자리 햇빛 들어올 때 최고예요 🌿
2026-05-16,구글,Daniel P.,3,자몽에이드,중립,에이드는 평범했어요. 대신 커피랑 디저트는 확실히 잘합니다.
2026-05-17,카카오맵,퇴근길커피,5,아메리카노,긍정,퇴근하고 들르는 게 낙입니다. 늦게까지 안 해서 아쉽지만 그만큼 여유로워요.
2026-05-20,네이버,브런치조아,4,치아바타 샌드위치(리코타바질),긍정,리코타 바질 샌드위치 신선하고 좋아요. 점심으로 딱입니다.
2026-05-20,네이버,고소한거좋아,5,너츠라떼,긍정,너츠라떼 한 잔에 기분이 풀립니다. 이름값 하는 시그니처.
2026-05-23,카카오맵,hyunsoo_j,4,피칸 아인슈페너,긍정,"비주얼 때문에 시켰는데 맛도 좋아요. 6,500원 값은 합니다."
2026-05-23,구글,Yuna K.,5,피칸파이,긍정,피칸파이 따뜻하게 데워 주는 게 포인트. 아이스 아메리카노랑 조합 최고.
2026-05-25,네이버,느긋한하루,5,(메뉴 언급 없음),긍정,"""진짜 쉬어지는"" 이라는 말이 뭔지 알겠어요. 시끄럽지 않고 음악도 좋습니다."
2026-05-28,카카오맵,까칠한리뷰어,3,카페라떼,중립,라떼는 그냥 그랬어요. 시그니처 메뉴를 시키는 게 맞는 것 같습니다.
2026-05-29,인스타그램,weekend_cafe_,5,너츠라떼 + 피칸파이 세트,긍정,데이온 세트 강추 🌰 사장님이 원두 설명도 해주셔서 좋았어요.
2026-05-31,네이버,동네탐험가,5,올리브 치아바타,긍정,커피 맛집인데 빵도 잘해요. 치아바타 사가는 사람 많더라고요.
2026-06-02,구글,Rachel M.,4,헤이즐넛 콜드브루,긍정,Cozy spot. Cold brew was smooth. Seating is limited so come early.
2026-06-02,카카오맵,오후세시,5,너츠라떼,긍정,오후에 가면 햇빛이 예쁘게 들어와요. 사진 찍기도 좋고 쉬기도 좋고.
2026-06-04,네이버,단골되는중,5,피칸파이,긍정,주 2회 방문 중. 피칸파이 + 아메리카노 고정 조합입니다.
2026-06-04,카카오맵,jaehyun.lee,4,흑임자 라떼,긍정,흑임자 라떼 달지 않아서 좋아요. 다만 대기 시간이 좀 있었습니다.
2026-06-07,네이버,봄날의산책,5,(메뉴 언급 없음),긍정,골목 들어서면서부터 기분이 좋아지는 카페. 인테리어가 진심입니다.
2026-06-07,구글,Sunwoo B.,5,피칸 아인슈페너,긍정,시그니처 두 개 다 먹어봤는데 아인슈페너 쪽이 더 취향이었어요.
2026-06-10,인스타그램,nutty_days,5,너츠라떼,긍정,견과 테마 컨셉 확실합니다. 커피부터 디저트까지 결이 이어져요 🌰☕
2026-06-12,카카오맵,무던한사람,4,아메리카노,긍정,가격 대비 만족. 동네에서 이 정도 퀄리티면 자주 옵니다.
2026-06-14,네이버,커피는사랑,5,너츠라떼 + 피칸파이 세트,긍정,세트 시키면 실패 없어요. 남녀노소 좋아할 맛.
2026-06-14,네이버,한숨돌리기,5,(메뉴 언급 없음),긍정,슬로건대로 정말 한 숨 돌리게 되는 곳. 조용한 카페 찾는 분들께 추천.
2026-06-15,구글,Chris W.,4,치아바타 샌드위치(햄치즈),긍정,"Good sandwich, great coffee. A bit pricey but worth it."
2026-06-16,카카오맵,디저트헌터,5,바스크 치즈케이크,긍정,치즈케이크 겉 탄맛 적당하고 속 촉촉. 피칸파이랑 같이 시켜서 나눠 먹었어요.
2026-06-17,네이버,오늘도데이온,5,너츠라떼,긍정,이름처럼 하루가 켜집니다. 아침에 들르면 그날 기분이 달라요.
2026-06-19,인스타그램,quiet_corner__,4,제철 과일 티,긍정,커피 안 마시는 날엔 과일 티. 향 좋고 자극적이지 않아요.
2026-06-23,카카오맵,솔직후기,3,피칸파이,중립,"피칸파이는 맛있는데 5,000원이면 조금 비싼 듯. 그래도 재방문 의사 있음."
2026-06-23,네이버,식물집사,5,(메뉴 언급 없음),긍정,식물 상태 보면 사장님 정성이 보여요. 공간에 애정이 느껴지는 카페.
2026-06-25,구글,Nara S.,5,너츠라떼 + 피칸파이 세트,긍정,데이트 코스로 좋아요. 시끄럽지 않아서 대화하기 편합니다.
2026-06-25,카카오맵,점심커피,4,자몽에이드,긍정,더운 날 자몽에이드 시원하고 좋았어요. 상큼합니다.
2026-06-28,네이버,재방문각,5,피칸 아인슈페너,긍정,한 번 오면 계속 오게 되는 집. 사장님 응대가 편안해요.
2026-06-29,카카오맵,주말러,2,(메뉴 언급 없음),불만,주말에 자리가 없어서 그냥 돌아왔어요. 좌석 확장 좀 해주세요...
2026-07-01,네이버,고요한시간,5,아메리카노,긍정,노트북 하기 좋진 않지만 쉬러 가기엔 최고. 컨셉이 명확해서 좋습니다.
2026-07-01,구글,Hana Y.,5,피칸파이,긍정,피칸파이 때문에 재방문. 이 동네 최고 디저트라고 생각해요.
2026-07-04,인스타그램,seoul_alley_cafe,5,(메뉴 언급 없음),긍정,숨은 골목 카페 시리즈 — 데이온. 인테리어 취향 저격입니다 🌿
